ID,Jahr,Betriebsteile,Vollbeschaeftigte,Lohnsumme_Mio,Anerkannte_Faelle,Faelle_Taggeld,Schwere_Unfaelle,Schwerste_Unfaelle,Invalidenrenten_UE,Invalidenrenten_80_UE,Todesfaelle_UE,Berufskrankheiten_BK,Invalidenrenten_BK,Todesfaelle_BK,Entschaedigte_Tage
31,2017,633,9441,638,862,380,29,4,3,0,0,18,0,1,14273
31,2018,626,9189,627,781,334,26,5,1,0,0,7,0,1,12091
31,2019,621,9229,638,733,326,36,3,1,0,1,9,1,0,13426
31,2020,617,9279,627,700,322,33,7,0,0,0,9,0,0,12865
31,2021,629,9448,640,727,333,28,1,0,0,0,12,0,0,12044
32,2012,2147,22748,1583,823,305,13,5,2,1,0,18,0,0,11727
32,2013,2150,23549,1634,806,319,20,4,5,1,0,12,1,1,12455
32,2014,2179,23778,1681,839,321,25,6,3,0,0,20,1,0,13018
32,2015,2191,23632,1688,817,347,34,6,1,1,0,14,0,0,14046
32,2016,2220,25006,1833,812,321,26,8,2,0,1,19,0,0,12237
32,2017,2237,24861,1803,883,318,27,7,3,0,0,25,0,1,12684
32,2018,2253,24437,1855,796,330,26,4,2,0,0,17,0,1,11229
32,2019,2281,25206,1917,915,361,29,5,0,0,0,18,0,0,13800
32,2020,2262,25098,1946,676,268,20,3,0,0,1,13,2,0,9937
32,2021,2290,24813,1931,765,345,22,4,1,0,0,13,0,0,12621
33,2012,1764,16226,1145,1629,507,57,10,1,0,1,15,0,0,24961
33,2013,1819,15821,1150,1643,534,44,19,6,1,0,9,0,0,25646
33,2014,1866,15288,1159,1603,524,61,11,4,0,0,14,0,0,26818
33,2015,1882,15656,1166,1562,488,51,18,7,0,0,14,0,1,24601
33,2016,1935,15565,1180,1535,530,49,13,7,1,1,9,0,0,24073
33,2017,1990,14786,1160,1539,553,50,7,2,1,0,13,0,0,22571
33,2018,2040,15802,1215,1534,544,60,8,6,0,0,9,0,1,24200
33,2019,2099,15503,1219,1507,525,57,9,6,0,1,5,0,0,22093
33,2020,2100,17769,1388,1550,612,68,12,4,0,1,8,0,0,24511
33,2021,2105,18330,1465,1560,558,72,4,1,0,1,11,0,0,23986
35,2012,647,28419,2383,1594,613,55,5,4,0,1,22,0,5,21186
35,2013,664,28454,2410,1540,547,43,16,6,1,1,33,0,7,21105
35,2014,678,28420,2462,1528,593,57,7,1,0,2,30,0,1,22676
35,2015,703,29300,2504,1512,540,50,10,6,0,0,21,0,2,20217
35,2016,716,28958,2606,1441,592,39,6,7,1,0,22,0,4,18537
35,2017,729,28959,2610,1461,520,50,7,4,0,0,33,0,2,18596
35,2018,733,27826,2623,1481,585,49,6,3,0,0,29,0,7,20168
35,2019,724,28121,2646,1365,533,43,7,2,1,1,24,0,3,16319
35,2020,738,29854,2742,1307,483,39,7,0,0,1,18,0,4,17650
35,2021,740,30667,2845,1293,536,52,4,3,0,0,29,0,1,18632
36,2012,308,1840,141,119,41,2,1,3,0,0,0,0,0,1797
36,2013,316,2009,153,107,31,2,1,0,0,0,1,0,0,1072
36,2014,316,2065,157,150,56,5,0,0,0,0,0,0,0,2072
36,2015,317,2137,162,132,44,6,0,0,0,0,0,0,0,1695
36,2016,321,2188,170,148,54,3,1,0,0,0,0,0,0,1516
36,2017,330,2287,177,138,52,4,1,0,0,0,0,0,0,1987
36,2018,332,2379,177,138,50,10,0,0,0,0,1,0,0,2763
36,2019,331,2527,199,178,61,6,0,1,0,0,1,0,0,2513
36,2020,332,2473,201,148,58,11,1,0,0,0,0,0,0,3007
36,2021,336,2505,199,159,61,9,1,0,0,0,0,0,0,3009
37,2012,512,4366,335,499,243,19,7,2,0,0,5,0,0,10630
37,2013,511,4780,377,544,238,20,5,8,1,0,6,0,0,10698
37,2014,511,4857,384,464,210,24,3,3,0,0,1,0,0,10208
37,2015,516,5190,396,518,217,24,6,1,0,0,2,0,1,9783
37,2016,513,5494,417,534,274,29,2,2,0,0,6,1,0,12065
37,2017,518,5592,441,521,260,27,5,3,0,0,5,0,1,12088
37,2018,527,5937,452,561,279,21,5,4,0,0,2,0,0,11470
37,2019,536,6205,464,607,323,39,6,1,0,0,2,0,1,15007
37,2020,529,6047,475,542,264,28,7,5,0,0,19,0,0,13320
37,2021,549,6558,491,575,325,41,4,0,0,0,16,0,0,15623
38,2012,660,10630,765,1366,621,74,7,2,0,0,10,1,0,29661
38,2013,676,10998,791,1437,679,82,25,10,1,3,10,0,0,36862
38,2014,693,11327,804,1528,707,79,18,10,0,3,5,0,0,33883
38,2015,709,11593,826,1405,653,78,17,2,0,0,8,0,0,34266
38,2016,717,11479,847,1402,653,66,18,9,1,0,12,0,0,32388
38,2017,706,11673,853,1384,652,76,14,6,0,0,4,0,0,30471
38,2018,712,11810,852,1419,678,68,13,10,1,0,5,0,0,29682
38,2019,721,11594,867,1443,710,82,17,4,1,3,7,0,1,31366
38,2020,734,11639,866,1388,679,75,22,3,2,1,10,0,0,34314
38,2021,753,11616,869,1403,703,89,18,6,2,1,11,1,2,36690
39,2012,29,223,17,33,18,0,0,0,0,0,0,0,0,518
39,2013,28,227,18,25,13,5,0,0,0,0,1,0,0,945
39,2014,27,215,16,34,12,1,1,0,0,0,0,0,0,698
39,2015,28,217,17,28,13,2,0,1,0,0,0,0,0,907
39,2016,31,223,18,47,23,2,0,0,0,0,0,0,0,1340
39,2017,35,297,22,34,22,2,1,0,0,0,0,0,0,1009
39,2018,32,289,21,52,31,7,1,1,0,0,0,0,0,1661
39,2019,32,270,20,43,29,5,1,0,0,0,0,0,0,2050
39,2020,32,267,20,36,23,2,1,0,0,0,1,0,0,1430
39,2021,36,277,21,39,17,5,1,0,0,0,0,0,0,1766
41,2012,5880,84892,6149,15450,7831,982,274,126,7,13,139,5,2,446988
41,2013,6219,86372,6272,15219,7997,1002,256,147,3,18,144,4,3,454513
41,2014,6600,87406,6357,14613,7855,1070,258,138,5,10,114,3,3,451182
41,2015,6769,86333,6288,14187,7300,979,243,127,4,8,110,1,1,433448
41,2016,7026,86807,6396,13776,7429,1054,248,119,3,14,96,4,1,449780
41,2017,7314,87006,6419,13731,7339,1003,252,139,5,3,93,5,0,429913
41,2018,7492,86960,6459,13467,7381,1047,234,108,4,9,89,3,2,436877
41,2019,7652,85916,6486,13360,7548,1139,242,87,5,7,83,3,0,447775
41,2020,7784,84865,6526,12133,7071,1055,229,69,4,3,81,1,4,441860
41,2021,8134,86360,6570,12656,7274,1116,226,91,6,9,102,1,1,445308
42,2012,782,20363,1486,2946,1446,170,36,19,1,6,33,0,0,67516
42,2013,795,20595,1542,3054,1539,159,43,26,0,0,30,0,0,74808
